"experiment"	"construct batch"	"gene"	"clone_id"	"cloneid"	"left_arm_length"	"right_arm_length"
"met12"	"barseq_0009"	"PBANKA_110710"	23045	"PbGEM-122082"	614	5850
"met12"	"barseq_0009"	"PBANKA_111810"	22919	"PbGEM-042605"	3190	1281
"met12"	"barseq_0009"	"PBANKA_113770"	22926	"PbGEM-045359"	5057	958
"met12"	"barseq_0009"	"PBANKA_120800"	23120	"PbGEM-101938"	674	3851
"met12"	"barseq_0009"	"PBANKA_124340"	141959	"PbGEM-309297"	2759	1931
"met12"	"barseq_0009"	"PBANKA_130380"	22729	"PbGEM-053579"	6357	1310
"met12"	"barseq_0009"	"PBANKA_130740"	143958	"PbGEM-248987"	3357	964
"met12"	"barseq_0009"	"PBANKA_131750"	23110	"PbGEM-105499"	4311	628
"met12"	"barseq_0009"	"PBANKA_133040"	23004	"PbGEM-106571"	4159	1215
"met12"	"barseq_0009"	"PBANKA_133060"	23094	"PbGEM-106603"	1078	4300
"met12"	"barseq_0009"	"PBANKA_134000"	23111	"PbGEM-107204"	777	4237
"met12"	"barseq_0009"	"PBANKA_134400"	23143	"PbGEM-107445"	3066	4098
"met12"	"barseq_0009"	"PBANKA_135080"	23087	"PbGEM-107959"	957	3242
"met12"	"barseq_0009"	"PBANKA_135200"	23001	"PbGEM-108060"	4289	1427
"met12"	"barseq_0009"	"PBANKA_136000"	23102	"PbGEM-108701"	3900	875
"met12"	"barseq_0009"	"PBANKA_141030"	23067	"PbGEM-109859"	1314	3219
"met12"	"barseq_0009"	"PBANKA_141560"	142032	"PbGEM-264932"	2412	2552
"met12"	"barseq_0009"	"PBANKA_141910"	23062	"PbGEM-110413"	1919	6314
"met12"	"barseq_0009"	"PBANKA_142220"	21862	"PbGEM-065359"	2391	2511
"met12"	"barseq_0009"	"PBANKA_142720"	22710	"PbGEM-066047"	5252	1003
"met12"	"barseq_0009"	"PBANKA_143270"	142087	"PbGEM-264636"	3901	2937
"met12"	"barseq_0009"	"PBANKA_143420"	22665	"PbGEM-067050"	3212	1598
"met12"	"barseq_0009"	"PBANKA_144000"	22917	"PbGEM-067943"	401	4223
"met12"	"barseq_0009"	"PBANKA_144160"	23112	"PbGEM-079665"	4534	401
"met12"	"barseq_0009"	"PBANKA_145050"	21862	"PbGEM-065359"	2391	2511
"met12"	"barseq_0009"	"PBANKA_145600"	22990	"PbGEM-080660"	3988	1672
						
"met13"	"barseq_0010"	"PBANKA_020310"	207228	"PbGEM-341676"	5946	1101
"met13"	"barseq_0010"	"PBANKA_021150"	207193	"PbGEM-341740"	1534	5255
"met13"	"barseq_0010"	"PBANKA_021360"	207499	"PbGEM-341756"	3330	2954
"met13"	"barseq_0010"	"PBANKA_030270"	207310	"PbGEM-328403"	7545	1001
"met13"	"barseq_0010"	"PBANKA_031190"	207282	"PbGEM-341812"	3597	1396
"met13"	"barseq_0010"	"PBANKA_040220"	207128	"PbGEM-341828"	1641	5170
"met13"	"barseq_0010"	"PBANKA_041680"	207423	"PbGEM-341884"	2937	1326
"met13"	"barseq_0010"	"PBANKA_041770"	207430	"PbGEM-341892"	4441	1101
"met13"	"barseq_0010"	"PBANKA_050170"	207308	"PbGEM-341900"	3514	1526
"met13"	"barseq_0010"	"PBANKA_051850"	207708	"PbGEM-232621"	6747	1396
"met13"	"barseq_0010"	"PBANKA_052000"	207439	"PbGEM-341956"	2330	1960
"met13"	"barseq_0010"	"PBANKA_070290"	207398	"PbGEM-342028"	6861	1101
"met13"	"barseq_0010"	"PBANKA_080230"	207224	"PbGEM-342084"	2342	1101
"met13"	"barseq_0010"	"PBANKA_081420"	207511	"PbGEM-342108"	3575	2705
"met13"	"barseq_0010"	"PBANKA_081490"	207420	"PbGEM-342116"	1101	6991
"met13"	"barseq_0010"	"PBANKA_081600"	207857	"PbGEM-342124"	1897	9256
"met13"	"barseq_0010"	"PBANKA_081680"	207431	"PbGEM-238655"	1109	5402
"met13"	"barseq_0010"	"PBANKA_082380"	207562	"PbGEM-342140"	5443	1942
"met13"	"barseq_0010"	"PBANKA_083440"	207965	"PbGEM-342156"	1920	3235
"met13"	"barseq_0010"	"PBANKA_090210"	207127	"PbGEM-342172"	1503	1101
"met13"	"barseq_0010"	"PBANKA_091950"	207774	"PbGEM-240110"	3767	1745
"met13"	"barseq_0010"	"PBANKA_092010"	207448	"PbGEM-342244"	3984	3122
"met13"	"barseq_0010"	"PBANKA_092520"	207752	"PbGEM-342276"	1101	4894
"met13"	"barseq_0010"	"PBANKA_092870"	207778	"PbGEM-342300"	5055	1101
"met13"	"barseq_0010"	"PBANKA_093090"	208041	"PbGEM-342316"	2211	3805
"met13"	"barseq_0010"	"PBANKA_093150"	207959	"PbGEM-342324"	4660	1383
"met13"	"barseq_0010"	"PBANKA_093740"	207808	"PbGEM-342356"	1155	2946
"met13"	"barseq_0010"	"PBANKA_094010"	207815	"PbGEM-342364"	1101	5045
"met13"	"barseq_0010"	"PBANKA_094190"	207820	"PbGEM-292264"	4865	1639
"met13"	"barseq_0010"	"PBANKA_100140"	207120	"PbGEM-342372"	3105	3293
"met13"	"barseq_0010"	"PBANKA_101380"	207507	"PbGEM-342436"	2168	5168
"met13"	"barseq_0010"	"PBANKA_101770"	207435	"PbGEM-294798"	5549	2619
"met13"	"barseq_0010"	"PBANKA_102260"	207461	"PbGEM-342468"	1101	6555
"met13"	"barseq_0010"	"PBANKA_102430"	207564	"PbGEM-342476"	1101	3053
"met13"	"barseq_0010"	"PBANKA_102880"	207867	"PbGEM-342492"	1621	7278
"met13"	"barseq_0010"	"PBANKA_102980"	207873	"PbGEM-342508"	901	8142
"met13"	"barseq_0010"	"PBANKA_103820"	207899	"PbGEM-342532"	1237	1513
"met13"	"barseq_0010"	"PBANKA_110490"	207330	"PbGEM-342556"	2542	2804
"met13"	"barseq_0010"	"PBANKA_110800"	207400	"PbGEM-342572"	1334	2980
"met13"	"barseq_0010"	"PBANKA_111630"	207417	"PbGEM-342604"	3027	1909
"met13"	"barseq_0010"	"PBANKA_111860"	207432	"PbGEM-342628"	4420	2347
"met13"	"barseq_0010"	"PBANKA_112670"	207474	"PbGEM-342636"	5701	1688
"met13"	"barseq_0010"	"PBANKA_112910"	207483	"PbGEM-342644"	1101	1101
"met13"	"barseq_0010"	"PBANKA_113180"	207872	"PbGEM-342668"	6032	1101
"met13"	"barseq_0010"	"PBANKA_113420"	207878	"PbGEM-342684"	7810	1101
"met13"	"barseq_0010"	"PBANKA_113670"	207803	"PbGEM-342700"	1101	1101
"met13"	"barseq_0010"	"PBANKA_113700"	207977	"PbGEM-342708"	1101	2587
"met13"	"barseq_0010"	"PBANKA_113840"	208065	"PbGEM-342716"	4394	1101
"met13"	"barseq_0010"	"PBANKA_114060"	207903	"PbGEM-342740"	1101	7543
"met13"	"barseq_0010"	"PBANKA_114340"	207825	"PbGEM-342764"	6618	2225
"met13"	"barseq_0010"	"PBANKA_121040"	207496	"PbGEM-342804"	5348	1101
"met13"	"barseq_0010"	"PBANKA_121420"	207405	"PbGEM-342820"	7005	1101
"met13"	"barseq_0010"	"PBANKA_121650"	207939	"PbGEM-342844"	1307	7084
"met13"	"barseq_0010"	"PBANKA_122250"	208030	"PbGEM-342868"	1101	5943
"met13"	"barseq_0010"	"PBANKA_122310"	207549	"PbGEM-342884"	2553	4737
"met13"	"barseq_0010"	"PBANKA_122470"	207653	"PbGEM-342892"	1101	6821
"met13"	"barseq_0010"	"PBANKA_123400"	207796	"PbGEM-342924"	3672	4370
"met13"	"barseq_0010"	"PBANKA_124210"	207823	"PbGEM-342956"	1101	5222
"met13"	"barseq_0010"	"PBANKA_124450"	207828	"PbGEM-309473"	4071	3762
"met13"	"barseq_0010"	"PBANKA_130370"	207238	"PbGEM-342980"	3195	4467
"met13"	"barseq_0010"	"PBANKA_131840"	207721	"PbGEM-343028"	1717	5778
"met13"	"barseq_0010"	"PBANKA_131920"	207447	"PbGEM-343044"	4158	1900
"met13"	"barseq_0010"	"PBANKA_132360"	207472	"PbGEM-343052"	1101	6510
"met13"	"barseq_0010"	"PBANKA_132640"	207480	"PbGEM-343060"	1708	3638
"met13"	"barseq_0010"	"PBANKA_134300"	207829	"PbGEM-343124"	1563	4102
"met13"	"barseq_0010"	"PBANKA_134430"	207831	"PbGEM-343132"	6997	1298
"met13"	"barseq_0010"	"PBANKA_134720"	208004	"PbGEM-343156"	3523	1951
"met13"	"barseq_0010"	"PBANKA_135660"	207931	"PbGEM-343188"	3556	4894
"met13"	"barseq_0010"	"PBANKA_135970"	207849	"PbGEM-343204"	1332	7138
"met13"	"barseq_0010"	"PBANKA_141470"	207410	"PbGEM-343260"	3973	3752
"met13"	"barseq_0010"	"PBANKA_141780"	207427	"PbGEM-343268"	3934	2109
"met13"	"barseq_0010"	"PBANKA_141840"	207526	"PbGEM-343276"	4245	1608
"met13"	"barseq_0010"	"PBANKA_142530"	207561	"PbGEM-343316"	3855	1101
"met13"	"barseq_0010"	"PBANKA_142960"	207949	"PbGEM-343340"	1989	5105
"met13"	"barseq_0010"	"PBANKA_143610"	207884	"PbGEM-343364"	5044	1101
"met13"	"barseq_0010"	"PBANKA_143890"	207809	"PbGEM-257581"	4820	1931
"met13"	"barseq_0010"	"PBANKA_144770"	207833	"PbGEM-343380"	2651	1278
"met13"	"barseq_0010"	"PBANKA_145010"	208005	"PbGEM-343388"	3076	1392
"met13"	"barseq_0010"	"PBANKA_145920"	207932	"PbGEM-343452"	1345	3880
"met13"	"barseq_0010"	"PBANKA_146220"	207935	"PbGEM-343468"	1101	8364
						
"met14"	"barseq_0011"	"PBANKA_010200"	207028	"PbGEM-341612"	3708	2058
"met14"	"barseq_0011"	"PBANKA_010460"	22388	"PbGEM-005714"	3568	607
"met14"	"barseq_0011"	"PBANKA_020720"	207159	"PbGEM-341692"	3618	4192
"met14"	"barseq_0011"	"PBANKA_021040"	207091	"PbGEM-341716"	5162	1101
"met14"	"barseq_0011"	"PBANKA_021130"	207098	"PbGEM-341732"	4996	1491
"met14"	"barseq_0011"	"PBANKA_021150"	207193	"PbGEM-341740"	1534	5255
"met14"	"barseq_0011"	"PBANKA_021350"	22540	"PbGEM-008508"	7174	654
"met14"	"barseq_0011"	"PBANKA_030430"	207137	"PbGEM-228093"	3084	4358
"met14"	"barseq_0011"	"PBANKA_030460"	142894	"PbGEM-265332"	4011	3214
"met14"	"barseq_0011"	"PBANKA_030850"	144888	"PbGEM-228946"	401	4284
"met14"	"barseq_0011"	"PBANKA_031270"	144375	"PbGEM-229846"	3582	3921
"met14"	"barseq_0011"	"PBANKA_031380"	207201	"PbGEM-341820"	3330	3020
"met14"	"barseq_0011"	"PBANKA_040680"	207158	"PbGEM-341852"	901	7378
"met14"	"barseq_0011"	"PBANKA_040740"	144602	"PbGEM-229557"	1867	401
"met14"	"barseq_0011"	"PBANKA_040930"	207177	"PbGEM-341860"	2924	2215
"met14"	"barseq_0011"	"PBANKA_050230"	207033	"PbGEM-341908"	1662	4625
"met14"	"barseq_0011"	"PBANKA_050740"	207169	"PbGEM-341940"	3480	3401
"met14"	"barseq_0011"	"PBANKA_050810"	207083	"PbGEM-341948"	1101	1101
"met14"	"barseq_0011"	"PBANKA_060480"	207147	"PbGEM-341988"	2221	1101
"met14"	"barseq_0011"	"PBANKA_061580"	23238	"PbGEM-019212"	728	401
"met14"	"barseq_0011"	"PBANKA_070210"	207032	"PbGEM-343476"	1001	6017
"met14"	"barseq_0011"	"PBANKA_070270"	207036	"PbGEM-342020"	4490	2135
"met14"	"barseq_0011"	"PBANKA_070450"	207048	"PbGEM-342036"	1101	1101
"met14"	"barseq_0011"	"PBANKA_070950"	207078	"PbGEM-342044"	2250	2071
"met14"	"barseq_0011"	"PBANKA_071400"	22387	"PbGEM-022265"	3700	4417
"met14"	"barseq_0011"	"PBANKA_071650"	144248	"PbGEM-282066"	4420	1266
"met14"	"barseq_0011"	"PBANKA_080430"	143192	"PbGEM-235933"	5545	1421
"met14"	"barseq_0011"	"PBANKA_080560"	144601	"PbGEM-236212"	10275	1255
"met14"	"barseq_0011"	"PBANKA_080590"	144502	"PbGEM-236279"	594	4025
"met14"	"barseq_0011"	"PBANKA_080620"	207071	"PbGEM-342092"	1310	6527
"met14"	"barseq_0011"	"PBANKA_080700"	207079	"PbGEM-342100"	1101	1101
"met14"	"barseq_0011"	"PBANKA_080800"	144607	"PbGEM-236773"	401	3060
"met14"	"barseq_0011"	"PBANKA_081900"	144261	"PbGEM-239275"	5607	1027
"met14"	"barseq_0011"	"PBANKA_082450"	22548	"PbGEM-091576"	4634	1665
"met14"	"barseq_0011"	"PBANKA_082690"	144806	"PbGEM-259660"	3891	401
"met14"	"barseq_0011"	"PBANKA_082800"	23454	"PbGEM-091835"	6088	401
"met14"	"barseq_0011"	"PBANKA_083190"	22541	"PbGEM-027597"	7234	1030
"met14"	"barseq_0011"	"PBANKA_090410"	22608	"PbGEM-092737"	6014	4471
"met14"	"barseq_0011"	"PBANKA_090950"	207086	"PbGEM-342188"	3209	1101
"met14"	"barseq_0011"	"PBANKA_091270"	207111	"PbGEM-342196"	4553	2624
"met14"	"barseq_0011"	"PBANKA_092700"	144605	"PbGEM-241597"	401	3350
"met14"	"barseq_0011"	"PBANKA_093860"	144608	"PbGEM-240960"	5866	401
"met14"	"barseq_0011"	"PBANKA_100160"	207030	"PbGEM-342380"	3336	1990
"met14"	"barseq_0011"	"PBANKA_100950"	207186	"PbGEM-342396"	1101	1101
"met14"	"barseq_0011"	"PBANKA_101020"	207097	"PbGEM-342404"	2431	2023
"met14"	"barseq_0011"	"PBANKA_101080"	207103	"PbGEM-342412"	4861	1101
"met14"	"barseq_0011"	"PBANKA_101330"	23235	"PbGEM-036210"	4233	7052
"met14"	"barseq_0011"	"PBANKA_101700"	22533	"PbGEM-036774"	5762	585
"met14"	"barseq_0011"	"PBANKA_101980"	144612	"PbGEM-263460"	4855	401
"met14"	"barseq_0011"	"PBANKA_103680"	144734	"PbGEM-243303"	4205	3312
"met14"	"barseq_0011"	"PBANKA_110360"	207039	"PbGEM-342548"	1669	1101
"met14"	"barseq_0011"	"PBANKA_110540"	207148	"PbGEM-245477"	5719	1503
"met14"	"barseq_0011"	"PBANKA_110730"	144226	"PbGEM-246119"	902	3789
"met14"	"barseq_0011"	"PBANKA_110810"	207069	"PbGEM-342580"	5895	1101
"met14"	"barseq_0011"	"PBANKA_111080"	22369	"PbGEM-041570"	2425	1125
"met14"	"barseq_0011"	"PBANKA_112270"	144786	"PbGEM-246785"	2029	401
"met14"	"barseq_0011"	"PBANKA_112970"	22552	"PbGEM-100020"	4861	401
"met14"	"barseq_0011"	"PBANKA_121030"	207085	"PbGEM-342796"	4577	1770
"met14"	"barseq_0011"	"PBANKA_121240"	142552	"PbGEM-247010"	6494	3331
"met14"	"barseq_0011"	"PBANKA_121400"	207203	"PbGEM-342812"	3771	1456
"met14"	"barseq_0011"	"PBANKA_122770"	144628	"PbGEM-252597"	401	9522
"met14"	"barseq_0011"	"PBANKA_124300"	143216	"PbGEM-261876"	1206	3778
"met14"	"barseq_0011"	"PBANKA_130280"	207045	"PbGEM-342972"	2132	3546
"met14"	"barseq_0011"	"PBANKA_130680"	143205	"PbGEM-248737"	401	2309
"met14"	"barseq_0011"	"PBANKA_130860"	186834	"PbGEM-249472"	860	4096
"met14"	"barseq_0011"	"PBANKA_130970"	144301	"PbGEM-311255"	1198	8875
"met14"	"barseq_0011"	"PBANKA_131070"	207200	"PbGEM-342996"	1728	3590
"met14"	"barseq_0011"	"PBANKA_131510"	23234	"PbGEM-055230"	401	3286
"met14"	"barseq_0011"	"PBANKA_132800"	22373	"PbGEM-056925"	5174	1161
"met14"	"barseq_0011"	"PBANKA_134380"	23233	"PbGEM-059126"	2923	3708
"met14"	"barseq_0011"	"PBANKA_135090"	144599	"PbGEM-250625"	5825	1785
"met14"	"barseq_0011"	"PBANKA_135960"	23382	"PbGEM-061442"	5926	560
"met14"	"barseq_0011"	"PBANKA_140170"	207026	"PbGEM-343220"	6111	1101
"met14"	"barseq_0011"	"PBANKA_140410"	22384	"PbGEM-062848"	6194	1095
"met14"	"barseq_0011"	"PBANKA_140480"	23467	"PbGEM-109406"	900	2987
"met14"	"barseq_0011"	"PBANKA_140800"	207075	"PbGEM-343228"	3715	2674
"met14"	"barseq_0011"	"PBANKA_140910"	23474	"PbGEM-109737"	7889	908
"met14"	"barseq_0011"	"PBANKA_141000"	207088	"PbGEM-343236"	4657	2501
"met14"	"barseq_0011"	"PBANKA_141360"	23226	"PbGEM-064151"	2175	5182
"met14"	"barseq_0011"	"PBANKA_142090"	23240	"PbGEM-065186"	448	2848
"met14"	"barseq_0011"	"PBANKA_142160"	23273	"PbGEM-110533"	3431	1715
"met14"	"barseq_0011"	"PBANKA_143750"	187953	"PbGEM-340307"	1764	2765
"met14"	"barseq_0011"	"PBANKA_144540"	144237	"PbGEM-258596"	4263	763
"met14"	"barseq_0011"	"PBANKA_146070"	144592	"PbGEM-258996"	5411	401
						
"met15"	"barseq_0012"	"PBANKA_111380"	22390	"PbGEM-042008"	4907	919
"met15"	"barseq_0012"	"PBANKA_091870"	22395	"PbGEM-030788"	1368	6058
"met15"	"barseq_0012"	"PBANKA_051520"	22410	"PbGEM-086151"	1372	6206
"met15"	"barseq_0012"	"PBANKA_103320"	22422	"PbGEM-097527"	1066	4536
"met15"	"barseq_0012"	"PBANKA_052050"	22429	"PbGEM-086609"	2996	615
"met15"	"barseq_0012"	"PBANKA_110510"	22431	"PbGEM-098382"	922	1550
"met15"	"barseq_0012"	"PBANKA_101710"	22432	"PbGEM-096468"	4194	597
"met15"	"barseq_0012"	"PBANKA_141460"	22183	"PbGEM-064297"	3492	1863
"met15"	"barseq_0012"	"PBANKA_142310"	22185	"PbGEM-065482"	2561	4586
"met15"	"barseq_0012"	"PBANKA_100240"	22196	"PbGEM-034599"	1280	5361
"met15"	"barseq_0012"	"PBANKA_092180"	22197	"PbGEM-031109"	5683	683
"met15"	"barseq_0012"	"PBANKA_082490"	22200	"PbGEM-026600"	2075	1997
"met15"	"barseq_0012"	"PBANKA_112810"	22241	"PbGEM-099883"	6460	854
"met15"	"barseq_0012"	"PBANKA_111490"	22242	"PbGEM-098975"	1763	2069
"met15"	"barseq_0012"	"PBANKA_121190"	22243	"PbGEM-102240"	1949	515
"met15"	"barseq_0012"	"PBANKA_101750"	22246	"PbGEM-096504"	2744	642
"met15"	"barseq_0012"	"PBANKA_110940"	22247	"PbGEM-098706"	4226	1340
"met15"	"barseq_0012"	"PBANKA_080320"	22248	"PbGEM-090247"	4953	1117
"met15"	"barseq_0012"	"PBANKA_083560"	22152	"PbGEM-028140"	5280	401
"met15"	"barseq_0012"	"PBANKA_080220"	22154	"PbGEM-023655"	2745	1034
"met15"	"barseq_0012"	"PBANKA_130520"	22156	"PbGEM-053796"	2512	7842
"met15"	"barseq_0012"	"PBANKA_093020"	22176	"PbGEM-112473"	1837	4440
"met15"	"barseq_0012"	"PBANKA_020580"	22006	"PbGEM-082161"	401	1145
"met15"	"barseq_0012"	"PBANKA_130690"	22007	"PbGEM-104812"	2625	668
"met15"	"barseq_0012"	"PBANKA_122500"	22011	"PbGEM-111674"	5110	401
"met15"	"barseq_0012"	"PBANKA_082960"	22012	"PbGEM-091930"	2952	1721
"met15"	"barseq_0012"	"PBANKA_135150"	22014	"PbGEM-111682"	4344	2542
"met15"	"barseq_0012"	"PBANKA_082710"	22018	"PbGEM-091747"	1225	3218
"met15"	"barseq_0012"	"PBANKA_091210"	22028	"PbGEM-111738"	2543	2694
"met15"	"barseq_0012"	"PBANKA_090110"	22032	"PbGEM-111746"	985	1434
"met15"	"barseq_0012"	"PBANKA_040940"	22033	"PbGEM-111754"	868	2114
"met15"	"barseq_0012"	"PBANKA_031140"	22035	"PbGEM-111762"	883	401
"met15"	"barseq_0012"	"PBANKA_061520"	22037	"PbGEM-087803"	1281	6714
"met15"	"barseq_0012"	"PBANKA_093370"	22038	"PbGEM-111778"	1348	8841
"met15"	"barseq_0012"	"PBANKA_090380"	22040	"PbGEM-111794"	5725	401
"met15"	"barseq_0012"	"PBANKA_135260"	22041	"PbGEM-111802"	2336	4312
"met15"	"barseq_0012"	"PBANKA_136210"	22044	"PbGEM-108848"	6252	790
"met15"	"barseq_0012"	"PBANKA_040820"	22050	"PbGEM-111826"	4748	3965
"met15"	"barseq_0012"	"PBANKA_130920"	22051	"PbGEM-104970"	4499	675
"met15"	"barseq_0012"	"PBANKA_092550"	22054	"PbGEM-111850"	401	4033
"met15"	"barseq_0012"	"PBANKA_040110"	22058	"PbGEM-084034"	2898	401
"met15"	"barseq_0012"	"PBANKA_112690"	22059	"PbGEM-099789"	1408	1002
"met15"	"barseq_0012"	"PBANKA_071200"	22077	"PbGEM-111882"	1889	3297
"met15"	"barseq_0012"	"PBANKA_060280"	21901	"PbGEM-017355"	3667	2285
"met15"	"barseq_0012"	"PBANKA_051200"	21821	"PbGEM-015165"	4793	2224
"met15"	"barseq_0012"	"PBANKA_031030"	23589	"PbGEM-072470"	5651	555
"met15"	"barseq_0012"	"PBANKA_061670"	23592	"PbGEM-072498"	2990	2923
"met15"	"barseq_0012"	"PBANKA_041040"	23587	"PbGEM-226101"	1528	4831
"met15"	"barseq_0012"	"PBANKA_144560"	23608	"PbGEM-072506"	2460	2257
"met15"	"barseq_0012"	"PBANKA_093300"	23601	"PbGEM-072518"	3978	1752
"met15"	"barseq_0012"	"PBANKA_146050"	23609	"PbGEM-072542"	2815	4647
"met15"	"barseq_0012"	"PBANKA_010290"	23253	"PbGEM-005512"	401	2506
"met15"	"barseq_0012"	"PBANKA_010950"	23295	"PbGEM-081709"	1154	6446
"met15"	"barseq_0012"	"PBANKA_011210"	26834	"PbGEM-226461"	401	3483
"met15"	"barseq_0012"	"PBANKA_021440"	188038	"PbGEM-328299"	1001	2258
"met15"	"barseq_0012"	"PBANKA_052170"	188033	"PbGEM-329843"	1001	1001
"met15"	"barseq_0012"	"PBANKA_083520"	188006	"PbGEM-260292"	7780	1826
"met15"	"barseq_0012"	"PBANKA_090590"	188072	"PbGEM-260788"	2920	3621
"met15"	"barseq_0012"	"PBANKA_090960"	23254	"PbGEM-029572"	401	907
"met15"	"barseq_0012"	"PBANKA_093230"	26814	"PbGEM-226373"	1198	4989
"met15"	"barseq_0012"	"PBANKA_093910"	23264	"PbGEM-033587"	3325	1753
"met15"	"barseq_0012"	"PBANKA_122810"	187942	"PbGEM-336907"	1001	1001
"met15"	"barseq_0012"	"PBANKA_123160"	188137	"PbGEM-337003"	3466	1001
"met15"	"barseq_0012"	"PBANKA_131970"	187965	"PbGEM-337923"	1001	4713
"met15"	"barseq_0012"	"PBANKA_132980"	188052	"PbGEM-338243"	1001	4177
"met15"	"barseq_0012"	"PBANKA_136370"	26849	"PbGEM-226413"	1287	5901
"met15"	"barseq_0012"	"PBANKA_140370"	23260	"PbGEM-062791"	8008	660
"met15"	"barseq_0012"	"PBANKA_143750"	187953	"PbGEM-340307"	1764	2765
						
						
"PbSTM21"	"barseq_0013"	"PBANKA_010510"	21891	"PbGEM-005773"	2578	4317
"PbSTM21"	"barseq_0013"	"PBANKA_010770"	21859	"PbGEM-006154"	1419	4104
"PbSTM21"	"barseq_0013"	"PBANKA_020460"	22415	"PbGEM-082095"	749	4380
"PbSTM21"	"barseq_0013"	"PBANKA_021160"	22500	"PbGEM-082662"	8763	609
"PbSTM21"	"barseq_0013"	"PBANKA_021180"	22439	"PbGEM-008253"	401	7577
"PbSTM21"	"barseq_0013"	"PBANKA_021290"	22501	"PbGEM-082709"	3775	1273
"PbSTM21"	"barseq_0013"	"PBANKA_030670"	21833	"PbGEM-009687"	401	3919
"PbSTM21"	"barseq_0013"	"PBANKA_031260"	21818	"PbGEM-121242"	4283	2104
"PbSTM21"	"barseq_0013"	"PBANKA_031480"	22440	"PbGEM-010745"	3081	4473
"PbSTM21"	"barseq_0013"	"PBANKA_031580"	21894	"PbGEM-010861"	4709	4256
"PbSTM21"	"barseq_0013"	"PBANKA_041050"	21858	"PbGEM-121322"	2759	3481
"PbSTM21"	"barseq_0013"	"PBANKA_041350"	21836	"PbGEM-121274"	3409	6809
"PbSTM21"	"barseq_0013"	"PBANKA_041430"	22504	"PbGEM-084930"	5158	401
"PbSTM21"	"barseq_0013"	"PBANKA_041630"	22272	"PbGEM-013089"	1164	3833
"PbSTM21"	"barseq_0013"	"PBANKA_041790"	22274	"PbGEM-013345"	1037	4000
"PbSTM21"	"barseq_0013"	"PBANKA_050440"	21919	"PbGEM-014061"	3049	617
"PbSTM21"	"barseq_0013"	"PBANKA_050830"	22532	"PbGEM-014629"	854	4342
"PbSTM21"	"barseq_0013"	"PBANKA_051300"	22416	"PbGEM-086037"	4046	1172
"PbSTM21"	"barseq_0013"	"PBANKA_052020"	21846	"PbGEM-121306"	4202	4177
"PbSTM21"	"barseq_0013"	"PBANKA_060240"	21856	"PbGEM-017291"	5628	401
"PbSTM21"	"barseq_0013"	"PBANKA_060440"	22277	"PbGEM-017603"	6391	1344
"PbSTM21"	"barseq_0013"	"PBANKA_060600"	22189	"PbGEM-017859"	7445	1317
"PbSTM21"	"barseq_0013"	"PBANKA_060860"	22445	"PbGEM-018233"	2012	4131
"PbSTM21"	"barseq_0013"	"PBANKA_061400"	22336	"PbGEM-087702"	5004	2311
"PbSTM21"	"barseq_0013"	"PBANKA_070710"	21909	"PbGEM-021287"	5929	1017
"PbSTM21"	"barseq_0013"	"PBANKA_070940"	22450	"PbGEM-021641"	401	6475
"PbSTM21"	"barseq_0013"	"PBANKA_071120"	22451	"PbGEM-021894"	4734	1368
"PbSTM21"	"barseq_0013"	"PBANKA_080690"	22454	"PbGEM-024371"	1017	5041
"PbSTM21"	"barseq_0013"	"PBANKA_081070"	22521	"PbGEM-090719"	3439	1710
"PbSTM21"	"barseq_0013"	"PBANKA_081730"	22508	"PbGEM-090998"	448	4706
"PbSTM21"	"barseq_0013"	"PBANKA_082020"	22524	"PbGEM-026142"	1389	4707
"PbSTM21"	"barseq_0013"	"PBANKA_082040"	21852	"PbGEM-026174"	6180	401
"PbSTM21"	"barseq_0013"	"PBANKA_082320"	22456	"PbGEM-026405"	4054	1522
"PbSTM21"	"barseq_0013"	"PBANKA_082430"	22457	"PbGEM-026560"	4906	401
"PbSTM21"	"barseq_0013"	"PBANKA_083040"	22458	"PbGEM-027375"	1672	8043
"PbSTM21"	"barseq_0013"	"PBANKA_090710"	22372	"PbGEM-029200"	7053	1157
"PbSTM21"	"barseq_0013"	"PBANKA_091860"	22174	"PbGEM-030772"	4528	2211
"PbSTM21"	"barseq_0013"	"PBANKA_092660"	21841	"PbGEM-121290"	4608	3464
"PbSTM21"	"barseq_0013"	"PBANKA_092730"	22061	"PbGEM-111866"	1741	5044
"PbSTM21"	"barseq_0013"	"PBANKA_094250"	22342	"PbGEM-095104"	4549	717
"PbSTM21"	"barseq_0013"	"PBANKA_100150"	21823	"PbGEM-034462"	696	5957
"PbSTM21"	"barseq_0013"	"PBANKA_100640"	22510	"PbGEM-095750"	7458	1105
"PbSTM21"	"barseq_0013"	"PBANKA_101050"	22403	"PbGEM-096105"	4024	685
"PbSTM21"	"barseq_0013"	"PBANKA_101390"	22379	"PbGEM-036306"	1189	6455
"PbSTM21"	"barseq_0013"	"PBANKA_101810"	21827	"PbGEM-121258"	6123	1911
"PbSTM21"	"barseq_0013"	"PBANKA_103310"	22267	"PbGEM-039046"	806	5315
"PbSTM21"	"barseq_0013"	"PBANKA_103520"	22244	"PbGEM-097658"	2424	901
"PbSTM21"	"barseq_0013"	"PBANKA_103540"	22368	"PbGEM-039414"	1877	3993
"PbSTM21"	"barseq_0013"	"PBANKA_110690"	22518	"PbGEM-098495"	3050	1135
